Capture number,Total energy (mJ),Ecart type Total energy,Total time (s),Ecart type Total time,Total time lora (s),+
1,311.050595063,0.2639404432999868,1.402,4.440892098500626e-16,1.0979999999999999,0
2,311.2222,0.09233550630000309,1.4020000000000001,2.220446049250313e-16,1.0970000000000004,0
3,311.11373000000003,0.20080550629995741,1.4020000000000001,2.220446049250313e-16,1.097,0
4,311.0954,0.219135506300006,1.4019999999999992,1.1102230246251565e-15,1.0969999999999995,0
5,311.5880000000001,0.2734644937000894,1.4019999999999992,1.1102230246251565e-15,1.0969999999999986,0
6,311.25300999999996,0.061525506300029065,1.4019999999999997,6.661338147750939e-16,1.0969999999999995,0
7,311.35952,0.04498449369998525,1.4020000000000006,2.220446049250313e-16,1.0980000000000003,0
8,311.8084,0.4938644937000163,1.4020000000000001,2.220446049250313e-16,1.0970000000000004,0
9,311.28870000000006,0.025835506299927147,1.4020000000000001,2.220446049250313e-16,1.0979999999999999,0
10,311.36580000000004,0.05126449370004593,1.4020000000000001,2.220446049250313e-16,1.0980000000000008,0
average,311.3145355063,0.22233378208586474,1.4020000000000004,0.22233378208586474,0
legend_graph_2,delta E measure sensor:(mJ),9.937600000000003,delta E build_light:(mJ),nan,delta E send lora:(mJ),301.4282
