Capture number,encoding message (mE),hash message (mE),sign message (mE),encoding payload (mE),encoding message (ms),hash message (ms),sign message (ms),encoding payload (ms)
1,0.0,0.0,4.163372689999999,0.0,0.0,0.0,99.99999999999999,0.0
2,0.0,0.0,4.175999999999988,0.0,0.0,0.0,100.00000000000009,0.0
3,0.0,0.019400000000018736,4.172199999999975,0.0,0.0,0.9999999999994458,100.00000000000054,0.0
4,0.0,0.0,4.16599999999994,0.0420000000001437,0.0,0.0,99.99999999999964,1.000000000000334
5,0.014000000000123691,0.0,4.164999999999964,0.0,0.9999999999994458,0.0,99.99999999999964,0.0
6,0.0,0.0,4.157999999999902,0.0,0.0,0.0,99.99999999999964,0.0
7,0.0,0.0,4.1700000000005275,0.0,0.0,0.0,99.99999999999964,0.0
8,0.0,0.017999999999574356,4.169000000000324,0.0,0.0,0.9999999999976694,100.00000000000142,0.0
9,0.0,0.0,4.165999999999258,0.042000000000371074,0.0,0.0,100.00000000000142,1.0000000000012221
10,0.013999999999668944,0.0,4.161999999999352,0.0,0.9999999999976694,0.0,100.00000000000142,0.0
average,0.0027999999999792635,0.0037399999999593093,4.166757268999923,0.008400000000051477,0.19999999999971152,0.19999999999971152,100.00000000000034,0.2000000000001556
average current,nan,energy tot moy: (mE),4.203125768999918,time tot moy: (ms),101.40000000000052,,,
